item	itemLabel	icao	countryLabel	loc
http://www.wikidata.org/entity/Q7573946	Sparti Airport	LGSP	Greece	Point(22.526111111 36.973888888)
http://www.wikidata.org/entity/Q7580932	Springfield Air National Guard Base	KSGH	United States of America	Point(-83.8403 39.8403)
http://www.wikidata.org/entity/Q7583980	Cerklje ob Krki Airport	LJCE	Slovenia	Point(15.515277777 45.899722222)
http://www.wikidata.org/entity/Q7639037	Sunchon Airport	ZKSC	North Korea	Point(125.890472222 39.412083333)
http://www.wikidata.org/entity/Q7673068	Tabing Airport	WIMG	Indonesia	Point(100.3539 -0.8807)
http://www.wikidata.org/entity/Q7679911	Tall Afar Air Base	ORTF	Iraq	Point(42.40472222 36.28444444)
http://www.wikidata.org/entity/Q7679911	Tall Afar Air Base	ORTF	Iraq	Point(42.409 36.287)
http://www.wikidata.org/entity/Q7703348	Terre Haute International Airport	KHUF	United States of America	Point(-87.3075 39.451388888)
http://www.wikidata.org/entity/Q7801974	Tikrit East Air Base	ORTK	Iraq	Point(43.778333 34.605556)
http://www.wikidata.org/entity/Q7801974	Tikrit East Air Base	ORTK	Iraq	Point(43.7756 34.6083)
http://www.wikidata.org/entity/Q7801974	Tikrit East Air Base	ORTK	Iraq	Point(43.77333333 34.61027778)
http://www.wikidata.org/entity/Q7878336	Ukkurey	XIAU	Russia	Point(116.833333333 52.333333333)
http://www.wikidata.org/entity/Q7917003	Vastrap	FAVS	South Africa	Point(21.6306 -27.8347)
http://www.wikidata.org/entity/Q7928149	Vidsel Air Base	ESPE	Sweden	Point(20.15 65.875277777)
http://www.wikidata.org/entity/Q7939089	Vlorë Air Base	LAVL	Albania	Point(19.474 40.4766)
http://www.wikidata.org/entity/Q7939089	Vlorë Air Base	LAVL	Albania	Point(19.474178 40.47605)
http://www.wikidata.org/entity/Q7940661	Volos Army Airport	LGVO	Greece	Point(22.916667 39.383333)
http://www.wikidata.org/entity/Q7940661	Volos Army Airport	LGVO	Greece	Point(22.917455555 39.38335)
http://www.wikidata.org/entity/Q7942651	Vrazhdebna Air Base	LBSF	Bulgaria	Point(23.4397 42.6953)
http://www.wikidata.org/entity/Q7944502	Værnes Air Station	ENVA	Norway	Point(10.924166666 63.4575)
http://www.wikidata.org/entity/Q7960223	Wainwright Air Station	PAWT	United States of America	Point(-159.860277777 70.613377777)
http://www.wikidata.org/entity/Q7966282	Kunsan Air Base	RKJK	South Korea	Point(126.615833333 35.903611111)
http://www.wikidata.org/entity/Q7969333	Warfield Air National Guard Base	KMTN	United States of America	Point(-76.4138 39.3257)
http://www.wikidata.org/entity/Q7992189	Wheeler-Sack Army Airfield	KGTB	United States of America	Point(-75.719444444 44.055555555)
http://www.wikidata.org/entity/Q7998131	Wichita Falls Municipal Airport	KSPS	United States of America	Point(-98.491944444 33.988888888)
http://www.wikidata.org/entity/Q7999704	Wigram Aerodrome	NZWG	New Zealand	Point(172.553 -43.5511)
http://www.wikidata.org/entity/Q8044559	Xingning Air Base	ZGXN	People's Republic of China	Point(115.757 24.15)
http://www.wikidata.org/entity/Q8049482	Yaroslavl Levtsovo	UUBX	Russia	Point(40.055 57.731111111)
http://www.wikidata.org/entity/Q8058641	Youngstown-Warren Air Reserve Station	KYNG	United States of America	Point(-80.6791 41.2607)
http://www.wikidata.org/entity/Q8075444	Zutendaal Air Base	EBSL	Belgium	Point(5.590555 50.9475)
http://www.wikidata.org/entity/Q8075444	Zutendaal Air Base	EBSL	Belgium	Point(5.593889 50.95)
http://www.wikidata.org/entity/Q8190944	Santiago de Compostela Military Airfield	LEST	Spain	Point(-8.42151389 42.90023333)
http://www.wikidata.org/entity/Q8214013	Florianópolis Air Force Base	SBFL	Brazil	Point(-48.54694444 -27.67027778)
http://www.wikidata.org/entity/Q8214194	Kanoya Air Base	RJFY	Japan	Point(130.845277777 31.3675)
http://www.wikidata.org/entity/Q8214589	Vaiņode Air Base	EVFA	Latvia	Point(21.8867 56.405)
http://www.wikidata.org/entity/Q8243338	Pleso Airbase	LDZA	Croatia	Point(16.07384722 45.73651389)
http://www.wikidata.org/entity/Q8243340	Talavera la Real Airbase	LEBZ	Spain	Point(-6.82 38.8925)
http://www.wikidata.org/entity/Q8243405	El Pato Air Base	SPTP	Peru	Point(-81.224082 -4.549808)
http://www.wikidata.org/entity/Q8243405	El Pato Air Base	SPTP	Peru	Point(-81.226471111 -4.542311666)
http://www.wikidata.org/entity/Q9586386	Quintero Airport	SCER	Chile	Point(-71.5205 -32.7941)
http://www.wikidata.org/entity/Q9586748	Ovar Military Airbase	LPOV	Portugal	Point(-8.643150329 40.916568756)
http://www.wikidata.org/entity/Q9650446	Anápolis Airbase	SBAN	Brazil	Point(-48.96408056 -16.22626111)
http://www.wikidata.org/entity/Q9650494	Sintra Air Base	LPST	Portugal	Point(-9.3375 38.82916667)
http://www.wikidata.org/entity/Q9650554	Base de Aviação de Taubaté	SBTA	Brazil	Point(-45.516 -23.0401)
http://www.wikidata.org/entity/Q10428335	Berga Heliport	ESQP	Sweden	Point(18.11805556 59.07055556)
http://www.wikidata.org/entity/Q10431979	Boden Heliport	ESPG	Sweden	Point(21.69138889 65.81027778)
http://www.wikidata.org/entity/Q10437750	Bunge Airbase	ESVB	Sweden	Point(19.03416667 57.85)
http://www.wikidata.org/entity/Q10438216	Byholma Airbase	ESFY	Sweden	Point(13.60138889 56.78333333)
http://www.wikidata.org/entity/Q10500698	Fällfors Airbase	ESUF	Sweden	Point(20.76111111 65.1075)
http://www.wikidata.org/entity/Q10516024	Hagshult Airbase	ESMV	Sweden	Point(14.13694444 57.29222222)
http://www.wikidata.org/entity/Q10518493	Hasslösa Airbase	ESFH	Sweden	Point(13.263055 58.409722)
http://www.wikidata.org/entity/Q10518493	Hasslösa Airbase	ESFH	Sweden	Point(13.27222222 58.41583333)
http://www.wikidata.org/entity/Q10540702	Jokkmokk Airbase	ESNJ	Sweden	Point(20.14722222 66.49611111)
http://www.wikidata.org/entity/Q10542635	Kalixfors Airbase	ESUK	Sweden	Point(20.25722222 67.76472222)
http://www.wikidata.org/entity/Q10543817	Karlsborg Airbase	ESIA	Sweden	Point(14.507222 58.513612)
http://www.wikidata.org/entity/Q10546669	Knislinge Airbase	ESFI	Sweden	Point(14.13638889 56.18722222)
http://www.wikidata.org/entity/Q10561379	Såtenäs Airbase	ESIB	Sweden	Point(12.711237 58.42847)
http://www.wikidata.org/entity/Q10587493	Moholm Airbase	ESFM	Sweden	Point(14.10805556 58.59166667)
http://www.wikidata.org/entity/Q10602788	Norrköping-Bråvalla Airport	ESCK	Sweden	Point(16.10361111 58.61083333)
http://www.wikidata.org/entity/Q10658636	Råda Airbase	ESFR	Sweden	Point(13.05444444 58.50666667)
http://www.wikidata.org/entity/Q10680437	Tullinge Airbase	ESCN	Sweden	Point(17.91166667 59.18027778)
http://www.wikidata.org/entity/Q10697797	Tierp Airbase	ESKT	Sweden	Point(17.42166667 60.345)
http://www.wikidata.org/entity/Q10711148	Uråsa Airbase	ESFU	Sweden	Point(14.94666667 56.68138889)
http://www.wikidata.org/entity/Q10711148	Uråsa Airbase	ISFU	Sweden	Point(14.94666667 56.68138889)
http://www.wikidata.org/entity/Q10726517	Åmsele Airbase	ESUA	Sweden	Point(19.31416667 64.57055556)
http://www.wikidata.org/entity/Q10728116	Optand	ESNM	Sweden	Point(14.811388888 63.126388888)
http://www.wikidata.org/entity/Q3495936	Abéché Airport	FTTC	Chad	Point(20.844166666 13.846944444)
http://www.wikidata.org/entity/Q3497001	Kazlų Rūda airbase	EYKR	Lithuania	Point(23.53166667 54.80666667)
http://www.wikidata.org/entity/Q3497392	Vance Air Force Base	KEND	United States of America	Point(-97.917222222 36.339444444)
http://www.wikidata.org/entity/Q3497425	Travis Air Force Base	KSUU	United States of America	Point(-121.9275 38.262777777)
http://www.wikidata.org/entity/Q3497722	Sembawang Air Base	WSAG	Singapore	Point(103.812777777 1.425277777)
http://www.wikidata.org/entity/Q3499338	Buckley Space Force Base	KBKF	United States of America	Point(-104.752 39.7017)
http://www.wikidata.org/entity/Q3504948	Paya Lebar Air Base	WSAP	Singapore	Point(103.909444444 1.360277777)
http://www.wikidata.org/entity/Q3515123	RAF Tangmere	EGXC	United Kingdom	Point(-0.706388888 50.845833333)
http://www.wikidata.org/entity/Q3531530	Sulur Air Force Base	VOSX	India	Point(77.159722222 11.013611111)
http://www.wikidata.org/entity/Q3542490	Tuzla Air Base	LQTZ	Bosnia and Herzegovina	Point(18.7247 44.4588)
http://www.wikidata.org/entity/Q3543822	Sjenica Airport	LYSJ	Serbia	Point(20.050266666 43.2745)
http://www.wikidata.org/entity/Q3543822	Sjenica Airport	LYSJ	Serbia	Point(20.050361666 43.274503333)
http://www.wikidata.org/entity/Q3545302	San Isidro Air Base	MDSI	Dominican Republic	Point(-69.766666666 18.5)
http://www.wikidata.org/entity/Q3565073	Natal Air Force Base	BANT	Brazil	Point(-35.2475 -5.91138889)
http://www.wikidata.org/entity/Q3565316	Nasosnaya	UB12	Azerbaijan	Point(49.5575 40.5917)
